Match_Number,Date_Time,Venue,Team_1,Team_1_Score,Team_2,Team_2_Score,winner,winning_margin
74,"MAY, SUN 26 , 7:30 pm IST","MA Chidambaram Stadium,",Kolkata Knight Riders,114/2,Sunrisers Hyderabad,113,KOLKATA KNIGHT RIDERS,8 WICKETS
73,"MAY, FRI 24 , 7:30 pm IST","MA Chidambaram Stadium,",Sunrisers Hyderabad,175/9,Rajasthan Royals,139/7,SUNRISERS HYDERABAD,36 RUNS
72,"MAY, WED 22 , 7:30 pm IST","Narendra Modi Stadium,",Rajasthan Royals,174/6,Royal Challengers Bengaluru,172/8,RAJASTHAN ROYALS,4 WICKETS
71,"MAY, TUE 21 , 7:30 pm IST","Narendra Modi Stadium,",Kolkata Knight Riders,164/2,Sunrisers Hyderabad,159,KOLKATA KNIGHT RIDERS,8 WICKETS
70,"MAY, SUN 19 , 7:30 pm IST","Barsapara Cricket Stadium,",Rajasthan Royals,N/A,Kolkata Knight Riders,N/A,N/A,MATCH ABANDONED
69,"MAY, SUN 19 , 3:30 pm IST","Rajiv Gandhi International Stadium,",Sunrisers Hyderabad,215/6,Punjab Kings,214/5,SUNRISERS HYDERABAD,4 WICKETS
68,"MAY, SAT 18 , 7:30 pm IST","M Chinnaswamy Stadium,",Royal Challengers Bengaluru,218/5,Chennai Super Kings,191/7,ROYAL CHALLENGERS BENGALURU,27 RUNS
67,"MAY, FRI 17 , 7:30 pm IST","Wankhede Stadium,",Mumbai Indians,196/6,Lucknow Super Giants,214/6,LUCKNOW SUPER GIANTS,18 RUNS
66,"MAY, THU 16 , 7:30 pm IST","Rajiv Gandhi International Stadium,",Sunrisers Hyderabad,N/A,Gujarat Titans,N/A,N/A,MATCH ABANDONED
65,"MAY, WED 15 , 7:30 pm IST","Barsapara Cricket Stadium,",Rajasthan Royals,144/9,Punjab Kings,145/5,PUNJAB KINGS,5 WICKETS
64,"MAY, TUE 14 , 7:30 pm IST","Arun Jaitley Stadium,",Delhi Capitals,208/4,Lucknow Super Giants,189/9,DELHI CAPITALS,19 RUNS
63,"MAY, MON 13 , 7:30 pm IST","Narendra Modi Stadium,",Gujarat Titans,N/A,Kolkata Knight Riders,N/A,N/A,MATCH ABANDONED
62,"MAY, SUN 12 , 7:30 pm IST","M Chinnaswamy Stadium,",Royal Challengers Bengaluru,187/9,Delhi Capitals,140,ROYAL CHALLENGERS BENGALURU,47 RUNS
61,"MAY, SUN 12 , 3:30 pm IST","MA Chidambaram Stadium,",Chennai Super Kings,145/5,Rajasthan Royals,141/5,CHENNAI SUPER KINGS,5 WICKETS
60,"MAY, SAT 11 , 7:30 pm IST","Eden Gardens,",Kolkata Knight Riders,157/7,Mumbai Indians,139/8,KOLKATA KNIGHT RIDERS,18 RUNS
59,"MAY, FRI 10 , 7:30 pm IST","Narendra Modi Stadium,",Gujarat Titans,231/3,Chennai Super Kings,196/8,GUJARAT TITANS,35 RUNS
58,"MAY, THU 9 , 7:30 pm IST","Himachal Pradesh Cricket Association Stadium,",Punjab Kings,181,Royal Challengers Bengaluru,241/7,ROYAL CHALLENGERS BENGALURU,60 RUNS
